,Facility Name,Miles,Address,Phone Number,Adult Availability,Adolescent Availability,Female Availability,Male Availability,Transgender Availability,Next Availability,Adult Beds
0,Counseling Services of New York LLC OP Outpatient Clinic,0.13 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-590-1790,True,False,,,,(Please Call for Appointment),
1,Next Steps South OP Outpatient Clinic,0.26 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-993-3397,True,False,,,,(Please Call for Appointment),
2,Wellness Center at Melrose OTP Opioid Outpatient Treatment,0.26 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-993-3397,,,,,,(Please Call for Appointment),
3,"Concourse Medical Center, Inc. OTP Opioid Outpatient Treatment",0.3 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-665-9340,,,,,,(Please Call for Appointment),
4,"Argus Community, Inc. RR 1 820 Rehab and Reintegration",0.58 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-993-2376,,,True,True,False,04/13/2023,2
5,Independence OP Outpatient Clinic,0.83 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-402-9000,True,True,,,,(Please Call for Appointment),
6,Mott Haven OTP Opioid Outpatient Treatment,0.85 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-292-4640,,,,,,(Please Call for Appointment),
7,Franklin House SRR 820 Stabil Rehab Reintegration,0.89 Miles,"911 Walton Ave Bronx, NY 10452-9554",917-383-5160,,,False,True,True,04/13/2023,46
8,Success Counseling Services  OP Outpatient Clinic,0.89 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-538-6112,True,False,,,,(Please Call for Appointment),
9,"Samaritan Daytop Village, Inc. OTP 2 Opioid Outpatient Treatment",0.94 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-292-4455,,,,,,(Please Call for Appointment),
10,"SCAN-Harbor, Inc. OP Outpatient Clinic",0.98 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-293-2230,True,True,,,,(Please Call for Appointment),
11,CASA Washington Heights OP Outpatient Clinic,1.07 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-645-0875,True,False,,,,(Please Call for Appointment),
12,"Argus Community, Inc. RR 2 820 Rehab and Reintegration",1.08 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-401-5788,,,False,True,False,04/13/2023,2
13,TheElizabeth L Sturz Outpatient Ctr OP Outpatient Clinic,1.08 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-401-5711,True,True,,,,(Please Call for Appointment),
14,Striver House RR 820 Rehab and Reintegration,1.09 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-690-1900,,,False,True,False,04/12/2023,19
15,Harlem Hospital Ctr (HHC) OP Outpatient Clinic,1.1 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-939-3055,True,False,,,,(Please Call for Appointment),
16,BronxCare OTP Opioid Outpatient Treatment,1.11 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-503-7752,,,,,,(Please Call for Appointment),
17,BronxCare Life Recovery CR Community Residential,1.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-518-3733,,,False,True,False,04/18/2023,2
18,BronxCare Addictions Rehab Prog IP Inpatient Rehabilitation,1.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-901-6487,,,False,False,False,04/13/2023,0
19,BronxCare Addictions Detox Prog MSW-IP Med Sup Withdrawal - Inpatient,1.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-518-3733,,,True,True,True,04/12/2023,9
20,BronxCare Chemical Dependence OP Outpatient Clinic,1.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-518-3737,True,False,,,,(Please Call for Appointment),
21,Samaritan Daytop Village Inc IR 2 Intensive Residential,1.14 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-657-6195,,,False,True,False,04/12/2023,16
22,Families/Individuals in Recovery OP Outpatient Clinic,1.16 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-543-4445,True,True,,,,(Please Call for Appointment),
23,"Elev8 Center New York, LLC IP Inpatient Rehabilitation",1.19 Miles,"911 Walton Ave Bronx, NY 10452-9554",914-299-9283,,,False,True,True,04/11/2023,2
24,"Elev8 Center New York, LLC MSW IP Med Sup Withdrawal - Inpatient",1.19 Miles,"911 Walton Ave Bronx, NY 10452-9554",833-353-8863,,,False,True,True,04/11/2023,6
25,Ramon Velez Recovery Center OP Outpatient Clinic,1.19 Miles,"911 Walton Ave Bronx, NY 10452-9554",347-352-2446,True,False,,,,(Please Call for Appointment),
