,CategoryName,ServiceName,FacilityName,BuildingNumber,Address,Address2,Borough,Latitude,ZipCode,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Website,CategoriesServicesID,FacilityID
0,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),"Bishop Orris G. Walker, Jr. Health Center (BWHC)",,528 Prospect Place,,Brooklyn,40.6753379,11238,-73.9589888,718-613-6811,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""Bishop Orris G. Walker, Jr. Health Center (BWHC): Bupe with NCM"">Visit this organization's website</a>",172,239723154
1,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Center for Comprehensive Health Practice,,"35 East 110th Street, 4th floor",,Manhattan,40.7965189,10029,-73.9481277,212-360-7875,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cchphealthcare.org/home"">Visit this organization's website</a>",172,239723155
2,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Claremont Family Health Center,,262 East 174 Street,,Bronx,40.8444942,10457,-73.9059981,718-734-2539,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://acacianetwork.org/primary-care/"">Visit this organization's website</a>",172,239723156
3,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Clay Family Health Center,,1776 Clay Avenue,,Bronx,40.8461493,10457,-73.9042441,718-734-2539,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://acacianetwork.org/primary-care/"">Visit this organization's website</a>",172,239723157
4,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Community Healthcare Network - East New York Health Hub,,"25-81 Atlantic Avenue, FL 1",,Brooklyn,40.6758828,11207,-73.8992968,718-495-6700,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.chnnyc.org/addiction-services/"">Visit this organization's website</a>",172,239723158
5,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Community Healthcare Network -South Bronx,,975 Westchester Avenue,,Bronx,40.8232412,10459,-73.8952429,718-388-0390,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.chnnyc.org/addiction-services/"">Visit this organization's website</a>",172,239723159
6,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Community Healthcare Network- Tree of Life (TOL) Health Center/Jamaica,,89-44 164th Street,,Queens,40.7062071,11432,-73.7963908,718-657-7088,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.chnnyc.org/addiction-services/"">Visit this organization's website</a>",172,239723160
7,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Community Healthcare Network -Williamsburg,,94 Manhattan Avenue,,Brooklyn,40.7055217,11206,-73.9443664,718-388-0390,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.chnnyc.org/addiction-services/"">Visit this organization's website</a>",172,239723161
8,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Community Healthcare Network-Long Island City,,36-11 21 Street,,Queens,40.7593731,11106,-73.9367689,718-482-7770,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.chnnyc.org/addiction-services/"">Visit this organization's website</a>",172,239723162
9,Drug and Alcohol Services,Buprenorphine Treatment<br/>(with Nurse Care Manager),Gotham Health Vanderbilt,,"165 Vanderbilt Avenue, 2nd Floor",,Staten Island,40.6203745,10304,-74.0768895,718-616-0978,Call to schedule an appointment,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""Gotham Health Vanderbilt: Bupe with NCM"">Visit this organization's website</a>",172,239723163
