,CategoryName,ServiceName,FacilityName,BuildingNumber,Address,Address2,Borough,Latitude,ZipCode,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Website,CategoriesServicesID,FacilityID
0,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,5830 Amboy Road,,Staten Island,40.5255213,10309,-74.201653,(718) 966-9278,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723314
1,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,5830 Amboy Road,,Staten Island,40.5255213,10309,-74.201653,(718) 966-9278,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723315
2,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,2900 Veterans Road West,,Staten Island,40.5285885,10309,-74.2327892,(718) 7016206,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723316
3,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,4055 Hylan Boulevard,,Staten Island,40.540959,10308,-74.1474602,(718) 966-9285,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723317
4,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,4055 Hylan Boulevard,,Staten Island,40.540959,10308,-74.1474602,(973) 386-9676,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723318
5,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,4065 Amboy Road,,Staten Island,40.5496668,10308,-74.1523471,(718) 317-2211,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723319
6,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,260 Arden Avenue,,Staten Island,40.5530978,10312,-74.1923432,(718) 966-5509,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723320
7,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,640 Arthur Kill Road,,Staten Island,40.5595475,10308,-74.1628515,(718) 948-5200,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723321
8,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,2690 Hylan Boulevard,,Staten Island,40.5666037,10306,-74.1132141,(718) 987-9727,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723322
9,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,2873 Richmond Avenue,,Staten Island,40.5748538,10314,-74.1667504,(917) 791-5852,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723323
10,Drug and Alcohol Services,Naloxone in Pharmacies,167th Street Pharmacy,,1150 Webster Avenue,,Bronx,40.830411,10456,-73.910659,(718) 975-0142,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723181
11,Drug and Alcohol Services,Naloxone in Pharmacies,3 Gem Pharmacy,,1398 Grand Concourse,,Bronx,40.8382822,10456,-73.9137123,(718) 588-3333,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723182
12,Drug and Alcohol Services,Naloxone in Pharmacies,37th Ave Pharmacy Inc.,,95-07 37 Avenue,,Queens,40.751301,11372,-73.8719186,(718) 424-8684,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723183
13,Drug and Alcohol Services,Naloxone in Pharmacies,"86ST RX, Inc.",,"2041 86th Street, Unit A2",,Brooklyn,40.6040987,11214,-73.9969946,(718) 360-5680,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723184
14,Drug and Alcohol Services,Naloxone in Pharmacies,A & F Pharmacy,,2754 Pitkin Avenue,,Brooklyn,40.6756,11208,-73.870504,(718) 277-7707,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723185
15,Drug and Alcohol Services,Naloxone in Pharmacies,A & G Pharmacy,,1216 Neptune Avenue,,Brooklyn,40.5789606,11224,-73.9802951,(718) 996-2277,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723186
16,Drug and Alcohol Services,Naloxone in Pharmacies,A & H Pharmacy,,589 Crescent Street,,Brooklyn,40.673377,11208,-73.8693345,(718) 277-0573,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723187
17,Drug and Alcohol Services,Naloxone in Pharmacies,A & V Pharmacy,,8501 4th Avenue,,Brooklyn,40.6233509,11209,-74.0278481,(718) 238-1402,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723188
18,Drug and Alcohol Services,Naloxone in Pharmacies,Abacus Pharmacy,,168 2 Avenue,,Manhattan,40.730144,10003,-73.986535,(212) 477-6400,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723189
19,Drug and Alcohol Services,Naloxone in Pharmacies,ABC Drugs,,1942 86 Street,,Brooklyn,40.605307,11214,-73.999435,(718) 234-2500,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723190
20,Drug and Alcohol Services,Naloxone in Pharmacies,ABC Drugs,,2095 Madison Avenue,,Manhattan,40.809959,10037,-73.937238,(212) 491-2501,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723191
21,Drug and Alcohol Services,Naloxone in Pharmacies,ABC Drugs University Avenue,,1925 University Avenue,,Bronx,40.853249,10453,-73.912646,(347) 750-5540,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723192
22,Drug and Alcohol Services,Naloxone in Pharmacies,ABC Pharmacy,,371 McDonald Avenue,,Brooklyn,40.644967,11218,-73.979578,(718) 853-7766,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723193
23,Drug and Alcohol Services,Naloxone in Pharmacies,Adelphi Drug Store,,3350 Fulton Street,,Brooklyn,40.683489,11208,-73.871912,(718) 827-9034,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,,2,239723194
24,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,532 Neptune Avenue,,Brooklyn,40.57934,11224,-73.974421,(718) 996-0091,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723324
25,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,88-07 Rockaway Beach Boulevard,,Queens,40.5866148,11693,-73.8130958,(718) 318-2700,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723325
26,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,1402 Sheepshead Bay Road,,Brooklyn,40.5875012,11235,-73.955076,(718) 332-8425,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723326
27,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,2465 Richmond Avenue,,Staten Island,40.587616,10314,-74.1663375,(718) 370-0365,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723327
28,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,2465 Richmond Avenue,,Staten Island,40.587616,10314,-74.1663375,(718) 370-0365,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723328
29,Drug and Alcohol Services,Naloxone in Pharmacies,CVS Pharmacy,,1361 Hylan Boulevard,,Staten Island,40.5954049,10305,-74.0864632,(718) 980-4403,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,,,"<a href=""https://www.cvs.com/"">Visit this organization's website</a>",2,239723329
