,CategoryName,ServiceName,FacilityName,BuildingNumber,Address,Address2,Borough,Latitude,ZipCode,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Website,CategoriesServicesID,FacilityID
0,Drug and Alcohol Services,Syringe Service Programs,After Hours Project: Syringe Service Programs,,1204 Broadway,,Brooklyn,40.6920811,11221,-73.9269109,(718) 249-0755,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,"<a href=""afterhoursproject.org"">Visit this organization's website</a>",3,232053606
1,Drug and Alcohol Services,Syringe Service Programs,After Hours Project: Syringe Service Programs,,1143 DeKalb,,Brooklyn,40.6943681,11221,-73.9293919,(718) 249-0755,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,"<a href=""afterhoursproject.org"">Visit this organization's website</a>",3,232053607
2,Drug and Alcohol Services,Syringe Service Programs,After Hours Project: Syringe Service Programs,,935 Broadway,,Brooklyn,40.697234,11206,-73.935664,(718) 249-0755,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,"<a href=""afterhoursproject.org"">Visit this organization's website</a>",3,232053608
3,Drug and Alcohol Services,Syringe Service Programs,After Hours Project: Syringe Service Programs,,South 5th Street and Marcy Avenue,,Brooklyn,40.70908,11211,-73.957488,(718) 249-0755,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,11:00 AM - 4:30 PM,,"<a href=""afterhoursproject.org"">Visit this organization's website</a>",3,232053609
4,Drug and Alcohol Services,Syringe Service Programs,AIDS Center of Queens County: Syringe Service Programs,,"150th St, Archer Ave",,Queens,40.7014899,11432,-73.8041668,(917) 670-5687,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,11:00 AM - 3:00 PM,,,11:00 AM - 3:00 PM,,,,"<a href=""acqc.org"">Visit this organization's website</a>",3,232053610
5,Drug and Alcohol Services,Syringe Service Programs,AIDS Center of Queens County: Syringe Service Programs,,"62-07 Woodside Avenue, 3 floor",,Queens,40.744497,11377,-73.902113,(917) 670-5687,,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,4:00 PM - 10:00 PM,,,"<a href=""acqc.org"">Visit this organization's website</a>",3,232053611
6,Drug and Alcohol Services,Syringe Service Programs,AIDS Center of Queens County: Syringe Service Programs,,Crescent Street and 42nd Rd,,Queens,40.7498248,11101,-73.9412892,(917) 670-5687,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,4:00 PM - 8:00 PM,,,,,,"<a href=""acqc.org"">Visit this organization's website</a>",3,232053612
7,Drug and Alcohol Services,Syringe Service Programs,Alliance Lower East Side Harm Reduction Center: Syringe Service Programs,,35 East Broadway,,Manhattan,40.713542,10002,-73.996281,(212) 226-6333,,/Date(-2208970800000)/,/Date(-2208970800000)/,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,,"<a href=""https://alliance.nyc/leshrc"">Visit this organization's website</a>",3,232053613
8,Drug and Alcohol Services,Syringe Service Programs,BOOM! Health: Syringe Service Programs,,E 149th St and St. Ann's Ave,,Bronx,40.814273299999996,10455,-73.9129694,(718) 292-7718 x6474,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,,9:00 AM - 2:00 PM,,,,,"<a href=""boomhealth.org"">Visit this organization's website</a>",3,232053614
9,Drug and Alcohol Services,Syringe Service Programs,BOOM! Health: Syringe Service Programs,,226 East 144 Street,,Bronx,40.81579,10451,-73.925361,(718) 292-7718 x6474,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,"<a href=""boomhealth.org"">Visit this organization's website</a>",3,232053615
